iter	Passed	Remaining
799	25867	6466
800	25898	6434
801	25929	6401
802	25966	6370
803	25995	6337
804	26025	6304
805	26056	6271
806	26087	6239
807	26121	6207
808	26158	6175
809	26186	6142
810	26219	6110
811	26249	6077
812	26278	6044
813	26308	6011
814	26336	5978
815	26365	5945
816	26396	5912
817	26426	5879
818	26457	5847
819	26492	5815
820	26516	5781
821	26547	5748
822	26577	5715
823	26604	5682
824	26638	5650
825	26667	5617
826	26700	5585
827	26731	5553
828	26768	5521
829	26799	5489
830	26830	5456
831	26862	5424
832	26893	5391
833	26927	5359
834	26961	5327
835	26999	5296
836	27031	5264
837	27062	5231
838	27093	5199
839	27127	5167
840	27163	5135
841	27194	5102
842	27226	5070
843	27256	5037
844	27322	5011
845	27359	4980
846	27395	4948
847	27423	4915
848	27458	4883
849	27490	4851
850	27521	4818
851	27553	4786
852	27582	4753
853	27614	4720
854	27645	4688
855	27676	4655
856	27707	4623
857	27743	4591
858	27774	4559
859	27810	4527
860	27843	4495
861	27871	4461
862	27904	4429
863	27929	4396
864	27971	4365
865	28003	4333
866	28031	4300
867	28063	4267
868	28094	4235
869	28127	4202
870	28165	4171
871	28198	4139
872	28229	4106
873	28257	4073
874	28289	4041
875	28324	4009
876	28358	3977
877	28390	3944
878	28422	3912
879	28454	3880
880	28487	3847
881	28519	3815
882	28552	3783
883	28585	3750
884	28614	3718
885	28642	3685
886	28676	3653
887	28708	3620
888	28739	3588
889	28770	3555
890	28797	3522
891	28828	3490
892	28859	3457
893	28893	3425
894	28926	3393
895	28957	3361
896	28986	3328
897	29020	3296
898	29051	3263
899	29075	3230
900	29103	3197
901	29138	3165
902	29171	3133
903	29203	3101
904	29236	3069
905	29267	3036
906	29298	3004
907	29330	2971
908	29369	2940
909	29399	2907
910	29430	2875
911	29459	2842
912	29488	2810
913	29521	2777
914	29553	2745
915	29586	2713
916	29617	2680
917	29648	2648
918	29680	2616
919	29708	2583
920	29737	2550
921	29761	2517
922	29793	2485
923	29823	2453
924	29855	2420
925	29892	2388
926	29926	2356
927	29957	2324
928	29987	2291
929	30016	2259
930	30051	2227
931	30088	2195
932	30116	2162
933	30148	2130
934	30180	2098
935	30209	2065
936	30243	2033
937	30274	2001
938	30303	1968
939	30336	1936
940	30367	1904
941	30439	1874
942	30472	1841
943	30501	1809
944	30536	1777
945	30565	1744
946	30595	1712
947	30626	1679
948	30657	1647
949	30691	1615
950	30719	1582
951	30757	1550
952	30789	1518
953	30819	1486
954	30848	1453
955	30878	1421
956	30911	1388
957	30947	1356
958	30974	1324
959	31004	1291
960	31035	1259
961	31067	1227
962	31101	1194
963	31132	1162
964	31163	1130
965	31196	1098
966	31231	1065
967	31266	1033
968	31300	1001
969	31328	968
970	31359	936
971	31388	904
972	31416	871
973	31448	839
974	31476	807
975	31512	774
976	31544	742
977	31579	710
978	31610	678
979	31659	646
980	31691	613
981	31726	581
982	31755	549
983	31788	516
984	31820	484
985	31850	452
986	31881	419
987	31911	387
988	31945	355
989	31977	323
990	32007	290
991	32038	258
992	32067	226
993	32096	193
994	32123	161
995	32154	129
996	32184	96
997	32217	64
998	32251	32
999	32280	0
